,0
0,
1,Biotechnology Research
2,Non-profit Organizations
3,Software Development
4,IT Services and IT Consulting
5,Environmental Services
6,Transportation Programs
7,Insurance
8,Computer Hardware Manufacturing
9,Manufacturing
10,Renewable Energy Semiconductor Manufacturing
11,Wholesale Building Materials
12,Defense and Space Manufacturing
13,Individual and Family Services
14,Information Services
15,Hospitals and Health Care
16,Furniture and Home Furnishings Manufacturing
17,Financial Services
18,Architecture and Planning
19,Staffing and Recruiting
20,Construction
21,Retail Apparel and Fashion
22,Wholesale
23,"Technology, Information and Internet"
24,Civil Engineering
25,Engineering Services
26,Research Services
27,Travel Arrangements
28,Human Resources Services
29,Utilities
30,Banking
31,Motor Vehicle Manufacturing
32,Information Technology & Services
33,Chemical Manufacturing
34,Government Administration
35,Business Consulting and Services
36,Internet Publishing
37,Government Relations Services
38,Food Production
39,Outsourcing and Offshoring Consulting
40,Marketing Services
41,Computer and Network Security
42,Computer Networking Products
43,Law Practice
44,Space Research and Technology
45,IT System Custom Software Development
46,Packaging and Containers Manufacturing
47,Electric Power Generation
48,Telecommunications
49,Accounting
50,Real Estate
51,Energy Technology
52,IT System Data Services
53,Medical Device
54,Armed Forces
55,Renewable Energy Power Generation
56,Consumer Services
57,Facilities Services
58,Market Research
59,Professional Services
60,Advertising Services
61,Musicians
62,Mental Health Care
63,Business Content
64,Industrial Machinery Manufacturing
65,Repair and Maintenance
66,Truck Transportation
67,Food & Beverages
68,Performing Arts
69,Education
70,Medical Equipment Manufacturing
71,Media Production
72,Retail Office Equipment
73,Public Relations and Communications Services
74,Retail
75,Pharmaceutical Manufacturing
76,Internet Marketplace Platforms
77,Food and Beverage Services
78,"Transportation, Logistics, Supply Chain and Storage"
79,Food and Beverage Manufacturing
80,Automation Machinery Manufacturing
81,Sporting Goods Manufacturing
82,Computers and Electronics Manufacturing
83,"Appliances, Electrical, and Electronics Manufacturing"
84,Semiconductor Manufacturing
85,Higher Education
86,Airlines and Aviation
87,Legal Services
88,"Technology, Information and Media"
89,IT System Training and Support
90,Entertainment Providers
91,Strategic Management Services
92,Design
93,Education Administration Programs
94,Newspaper Publishing
95,Data Infrastructure and Analytics
96,Wellness and Fitness Services
97,Social Networking Platforms
98,Oil and Gas
99,Design Services
100,Hospitality
101,Law Enforcement
102,Translation and Localization
103,Primary and Secondary Education
104,Automotive
105,Aviation and Aerospace Component Manufacturing
106,Defense & Space
107,Investment Management
108,Blockchain Services
109,Think Tanks
110,"Paint, Coating, and Adhesive Manufacturing"
111,Health and Human Services
112,Mechanical Or Industrial Engineering
113,Embedded Software Products
114,E-Learning Providers
115,Robotics Engineering
116,Blogs
117,Venture Capital and Private Equity Principals
118,Laundry and Drycleaning Services
119,Public Safety
120,Civic and Social Organizations
121,Fisheries
122,Consumer Goods
123,Machinery Manufacturing
124,Industrial Automation
125,Book and Periodical Publishing
126,Spectator Sports
127,Restaurants
128,School and Employee Bus Services
129,Internet News
130,Freight and Package Transportation
131,Computer Games
132,Building Materials
133,Sports and Recreation Instruction
134,Renewable Energy Equipment Manufacturing
135,Medical Practices
136,Semiconductors
137,Alternative Medicine
138,Online Audio and Video Media
139,Farming
140,Public Policy Offices
141,Broadcast Media Production and Distribution
142,Motor Vehicle Parts Manufacturing
143,Aviation & Aerospace
144,"Leisure, Travel & Tourism"
145,Plastics Manufacturing
146,Professional Training and Coaching
147,Online Media
148,Retail Pharmacies
149,Veterinary Services
150,Services for Renewable Energy
151,Apparel & Fashion
152,Data Security Software Products
153,Hotels and Motels
154,Warehousing and Storage
155,Urban Transit Services
156,Mining
157,Maritime Transportation
158,International Affairs
159,"Glass, Ceramics and Concrete Manufacturing"
160,Mobile Gaming Apps
161,Security and Investigations
162,Household Services
163,Recreational Facilities
164,Railroad Equipment Manufacturing
165,Personal Care Product Manufacturing
166,Executive Offices
167,Fundraising
168,Retail Furniture and Home Furnishings
169,Animation and Post-production
170,Human Resources
171,Printing Services
172,Paper and Forest Product Manufacturing
173,Textile Manufacturing
174,Mobile Computing Software Products
175,Retail Health and Personal Care Products
176,Home Health Care Services
177,Electric Lighting Equipment Manufacturing
178,Gambling Facilities and Casinos
179,International Trade and Development
180,Biotechnology
181,Outsourcing/Offshoring
182,Transportation/Trucking/Railroad
183,Computer Networking
184,Security Systems Services
185,Entertainment
186,Alternative Dispute Resolution
187,Beverage Manufacturing
188,HVAC and Refrigeration Equipment Manufacturing
189,Investment Banking
190,Public Health
191,Nuclear Electric Power Generation
192,Renewables & Environment
193,Packaging & Containers
194,Shipbuilding
195,Chiropractors
196,Leasing Non-residential Real Estate
197,Retail Gasoline
198,IT System Design Services
199,"Air, Water, and Waste Program Management"
200,Industry Associations
201,Robot Manufacturing
202,Wholesale Metals and Minerals
203,"Wholesale Appliances, Electrical, and Electronics"
204,Vehicle Repair and Maintenance
205,Graphic Design
206,Non-profit Organization Management
207,Writing and Editing
208,Transportation Equipment Manufacturing
209,Philanthropic Fundraising Services
210,Holding Companies
211,Operations Consulting
212,Wholesale Import and Export
213,Wireless Services
214,Retail Luxury Goods and Jewelry
215,Electrical Equipment Manufacturing
216,Luxury Goods & Jewelry
217,Nanotechnology Research
218,Retail Motor Vehicles
219,Events Services
220,Artists and Writers
221,Medical and Diagnostic Laboratories
222,"Movies, Videos, and Sound"
223,Sports Teams and Clubs
224,Computer Hardware
225,Photography
226,Residential Building Construction
227,Insurance Agencies and Brokerages
228,"Health, Wellness & Fitness"
229,Capital Markets
230,Fire Protection
231,Education Management
232,Natural Gas Distribution
233,Political Organizations
234,IT System Operations and Maintenance
235,Government Relations
236,Business Intelligence Platforms
237,"Physical, Occupational and Speech Therapists"
238,Book Publishing
239,Retail Groceries
240,Program Development
241,IT System Testing and Evaluation
242,Museums
243,Executive Search Services
244,"Water, Waste, Steam, and Air Conditioning Services"
245,Dairy
246,Consumer Electronics
247,Climate Technology Product Manufacturing
248,Ground Passenger Transportation
249,Maritime
250,Rail Transportation
251,Wood Product Manufacturing
252,Electronic and Precision Equipment Maintenance
253,"Museums, Historical Sites, and Zoos"
254,Surveying and Mapping Services
255,Investment Advice
256,Insurance Carriers
257,Online and Mail Order Retail
258,Professional Organizations
259,Measuring and Control Instrument Manufacturing
260,Glass Product Manufacturing
261,E-learning
262,Retail Recyclable Materials & Used Merchandise
263,Research
264,Desktop Computing Software Products
265,"Electric Power Transmission, Control, and Distribution"
266,Veterinary
267,Specialty Trade Contractors
268,Dairy Product Manufacturing
269,Religious Institutions
270,Dentists
271,Wholesale Food and Beverage
272,Music
273,Primary Metal Manufacturing
274,Building Construction
275,Solar Electric Power Generation
276,Business Supplies & Equipment
277,Child Day Care Services
278,Utility System Construction
279,Nursing Homes and Residential Care Facilities
280,Fuel Cell Manufacturing
281,Fabricated Metal Products
282,Wholesale Chemical and Allied Products
283,Sporting Goods
284,Commercial and Industrial Machinery Maintenance
285,Administration of Justice
286,Legislative Offices
287,Temporary Help Services
288,Insurance and Employee Benefit Funds
289,Construction Hardware Manufacturing
290,Furniture
291,Food and Beverage Retail
292,"Agriculture, Construction, Mining Machinery Manufacturing"
293,Janitorial Services
294,Libraries
295,Engines and Power Transmission Equipment Manufacturing
296,Skiing Facilities
297,Real Estate Agents and Brokers
298,Paper & Forest Products
299,Community Services
300,Animal Feed Manufacturing
301,Metal Treatments
302,Technical and Vocational Training
303,Media and Telecommunications
304,Spring and Wire Product Manufacturing
305,Arts & Crafts
306,Fossil Fuel Electric Power Generation
307,"Wholesale Hardware, Plumbing, Heating Equipment"
308,Emergency and Relief Services
309,Building Equipment Contractors
310,Landscaping Services
311,Agricultural Chemical Manufacturing
312,Coal Mining
313,Pet Services
314,Tobacco Manufacturing
315,Satellite Telecommunications
316,Utilities Administration
317,Wholesale Motor Vehicles and Parts
318,Steam and Air-Conditioning Supply
319,Household Appliance Manufacturing
320,Philanthropy
321,Public Policy
322,Economic Programs
323,Hydroelectric Power Generation
324,"Highway, Street, and Bridge Construction"
325,Audio and Video Equipment Manufacturing
326,Housing Programs
327,Services for the Elderly and Disabled
328,Apparel Manufacturing
329,Metalworking Machinery Manufacturing
330,Administrative and Support Services
331,Water Supply and Irrigation Systems
332,"Oil, Gas, and Mining"
333,Rubber Products Manufacturing
334,Chemical Raw Materials Manufacturing
335,Meat Products Manufacturing
336,Office Furniture and Fixtures Manufacturing
337,"Claims Adjusting, Actuarial Services"
338,Environmental Quality Programs
339,Commercial and Service Industry Machinery Manufacturing
340,Plastics and Rubber Product Manufacturing
341,"Farming, Ranching, Forestry"
342,Climate Data and Analytics
343,Cosmetics
344,Interior Design
345,Zoos and Botanical Gardens
346,Commercial Real Estate
347,Interurban and Rural Bus Services
348,"Retail Appliances, Electrical, and Electronic Equipment"
349,Leasing Residential Real Estate
350,Pension Funds
351,Telephone Call Centers
352,Housing and Community Development
353,Fine Art
354,Personal Care Services
355,"Boilers, Tanks, and Shipping Container Manufacturing"
356,Architectural and Structural Metal Manufacturing
357,Nonresidential Building Construction
358,Community Development and Urban Planning
359,Metal Ore Mining
360,Sightseeing Transportation
361,Retail Musical Instruments
362,Wine & Spirits
363,Waste Treatment and Disposal
364,Wholesale Machinery
365,Abrasives and Nonmetallic Minerals Manufacturing
366,Wholesale Furniture and Home Furnishings
367,Movies and Sound Recording
368,Communications Equipment Manufacturing
369,Shuttles and Special Needs Transportation Services
370,Animation
371,Digital Accessibility Services
372,Turned Products and Fastener Manufacturing
373,Horticulture
374,Geothermal Electric Power Generation
375,Wholesale Luxury Goods and Jewelry
376,Security Guards and Patrol Services
377,Equipment Rental Services
378,Military and International Affairs
379,Warehousing
380,Waste Collection
381,Courts of Law
382,Commercial and Industrial Equipment Rental
383,Forestry and Logging
384,Import & Export
385,Cable and Satellite Programming
386,Correctional Institutions
387,Ranching
388,Wholesale Recyclable Materials
389,Retail Art Supplies
390,Real Estate and Equipment Rental Services
391,Sound Recording
392,Artificial Rubber and Synthetic Fiber Manufacturing
393,Building Finishing Contractors
394,Nonmetallic Mineral Mining
395,Conservation Programs
396,IT System Installation and Disposal
397,Wholesale Computer Equipment
398,Retail Building Materials and Garden Equipment
399,Retail Art Dealers
400,Outpatient Care Centers
401,Fashion Accessories Manufacturing
402,Footwear Manufacturing
403,"Bars, Taverns, and Nightclubs"
404,"Bed-and-Breakfasts, Hostels, Homestays"
405,Funds and Trusts
406,Public Assistance Programs
407,Accessible Architecture and Design
408,Consumer Goods Rental
409,Language Schools
410,Wholesale Footwear
411,Taxi and Limousine Services
412,Retail Books and Printed News
413,Golf Courses and Country Clubs
414,Vocational Rehabilitation Services
415,Wineries
416,Wind Electric Power Generation
417,Distilleries
418,Office Administration
419,Pipeline Transportation
420,Breweries
421,Accessible Hardware Manufacturing
422,Physicians
423,Alternative Fuel Vehicle Manufacturing
424,Building Structure and Exterior Contractors
425,Radio and Television Broadcasting
426,Leather Product Manufacturing
427,Periodical Publishing
